
> print(pred_classes)
        [,1]
   [1,]    0
   [2,]    2
   [3,]    8
   [4,]    1
   [5,]    4
   [6,]    4
   [7,]    8
   [8,]    7
   [9,]    9
  [10,]    0
  [11,]    2
  [12,]    8
  [13,]    3
  [14,]    8
  [15,]    8
  [16,]    3
  [17,]    2
  [18,]    2
  [19,]    7
  [20,]    6
  [21,]    7
  [22,]    3
  [23,]    6
  [24,]    0
  [25,]    5
  [26,]    6
  [27,]    8
  [28,]    2
  [29,]    5
  [30,]    3
  [31,]    8
  [32,]    1
  [33,]    7
  [34,]    7
  [35,]    1
  [36,]    4
  [37,]    8
  [38,]    4
  [39,]    1
  [40,]    4
  [41,]    8
  [42,]    1
  [43,]    5
  [44,]    3
  [45,]    0
  [46,]    7
  [47,]    3
  [48,]    5
  [49,]    6
  [50,]    7
  [51,]    5
  [52,]    8
  [53,]    4
  [54,]    2
  [55,]    6
  [56,]    9
  [57,]    1
  [58,]    4
  [59,]    8
  [60,]    2
  [61,]    0
  [62,]    7
  [63,]    5
  [64,]    6
  [65,]    6
  [66,]    9
  [67,]    6
  [68,]    7
  [69,]    0
  [70,]    5
  [71,]    7
  [72,]    0
  [73,]    1
  [74,]    9
  [75,]    1
  [76,]    1
  [77,]    7
  [78,]    2
  [79,]    8
  [80,]    6
  [81,]    2
  [82,]    4
  [83,]    2
  [84,]    4
  [85,]    7
  [86,]    6
  [87,]    5
  [88,]    7
  [89,]    8
  [90,]    9
  [91,]    3
  [92,]    4
  [93,]    1
  [94,]    1
  [95,]    8
  [96,]    5
  [97,]    0
  [98,]    9
  [99,]    8
 [100,]    1
 [101,]    3
 [102,]    5
 [103,]    9
 [104,]    6
 [105,]    3
 [106,]    8
 [107,]    5
 [108,]    3
 [109,]    0
 [110,]    7
 [111,]    9
 [112,]    8
 [113,]    3
 [114,]    2
 [115,]    3
 [116,]    8
 [117,]    1
 [118,]    4
 [119,]    0
 [120,]    4
 [121,]    8
 [122,]    6
 [123,]    9
 [124,]    5
 [125,]    8
 [126,]    6
 [127,]    7
 [128,]    8
 [129,]    6
 [130,]    1
 [131,]    5
 [132,]    3
 [133,]    8
 [134,]    9
 [135,]    1
 [136,]    9
 [137,]    5
 [138,]    3
 [139,]    3
 [140,]    2
 [141,]    4
 [142,]    1
 [143,]    2
 [144,]    6
 [145,]    0
 [146,]    7
 [147,]    9
 [148,]    5
 [149,]    1
 [150,]    5
 [151,]    8
 [152,]    0
 [153,]    5
 [154,]    9
 [155,]    8
 [156,]    6
 [157,]    5
 [158,]    4
 [159,]    6
 [160,]    3
 [161,]    6
 [162,]    0
 [163,]    7
 [164,]    1
 [165,]    0
 [166,]    0
 [167,]    7
 [168,]    1
 [169,]    9
 [170,]    1
 [171,]    4
 [172,]    3
 [173,]    7
 [174,]    0
 [175,]    1
 [176,]    7
 [177,]    3
 [178,]    9
 [179,]    7
 [180,]    1
 [181,]    1
 [182,]    0
 [183,]    0
 [184,]    7
 [185,]    8
 [186,]    4
 [187,]    0
 [188,]    1
 [189,]    1
 [190,]    1
 [191,]    7
 [192,]    8
 [193,]    9
 [194,]    8
 [195,]    0
 [196,]    7
 [197,]    0
 [198,]    2
 [199,]    5
 [200,]    7
 [201,]    9
 [202,]    6
 [203,]    0
 [204,]    8
 [205,]    0
 [206,]    7
 [207,]    4
 [208,]    4
 [209,]    8
 [210,]    5
 [211,]    8
 [212,]    9
 [213,]    5
 [214,]    6
 [215,]    8
 [216,]    6
 [217,]    4
 [218,]    4
 [219,]    4
 [220,]    7
 [221,]    2
 [222,]    2
 [223,]    8
 [224,]    0
 [225,]    7
 [226,]    0
 [227,]    6
 [228,]    6
 [229,]    8
 [230,]    1
 [231,]    1
 [232,]    0
 [233,]    8
 [234,]    5
 [235,]    2
 [236,]    1
 [237,]    8
 [238,]    1
 [239,]    5
 [240,]    2
 [241,]    5
 [242,]    6
 [243,]    3
 [244,]    0
 [245,]    6
 [246,]    5
 [247,]    4
 [248,]    4
 [249,]    0
 [250,]    4
 [251,]    7
 [252,]    8
 [253,]    1
 [254,]    1
 [255,]    3
 [256,]    8
 [257,]    4
 [258,]    6
 [259,]    1
 [260,]    6
 [261,]    4
 [262,]    0
 [263,]    8
 [264,]    2
 [265,]    9
 [266,]    5
 [267,]    9
 [268,]    6
 [269,]    0
 [270,]    0
 [271,]    4
 [272,]    8
 [273,]    1
 [274,]    2
 [275,]    1
 [276,]    8
 [277,]    8
 [278,]    0
 [279,]    8
 [280,]    8
 [281,]    1
 [282,]    4
 [283,]    1
 [284,]    0
 [285,]    8
 [286,]    6
 [287,]    0
 [288,]    0
 [289,]    0
 [290,]    0
 [291,]    4
 [292,]    7
 [293,]    6
 [294,]    1
 [295,]    3
 [296,]    5
 [297,]    5
 [298,]    9
 [299,]    6
 [300,]    5
 [301,]    5
 [302,]    4
 [303,]    9
 [304,]    3
 [305,]    8
 [306,]    8
 [307,]    7
 [308,]    8
 [309,]    3
 [310,]    1
 [311,]    8
 [312,]    1
 [313,]    2
 [314,]    7
 [315,]    3
 [316,]    7
 [317,]    7
 [318,]    7
 [319,]    2
 [320,]    9
 [321,]    0
 [322,]    9
 [323,]    4
 [324,]    1
 [325,]    0
 [326,]    8
 [327,]    6
 [328,]    1
 [329,]    7
 [330,]    4
 [331,]    2
 [332,]    5
 [333,]    4
 [334,]    7
 [335,]    2
 [336,]    8
 [337,]    2
 [338,]    9
 [339,]    7
 [340,]    8
 [341,]    8
 [342,]    5
 [343,]    6
 [344,]    5
 [345,]    7
 [346,]    5
 [347,]    1
 [348,]    8
 [349,]    3
 [350,]    8
 [351,]    7
 [352,]    1
 [353,]    3
 [354,]    8
 [355,]    9
 [356,]    6
 [357,]    0
 [358,]    4
 [359,]    0
 [360,]    0
 [361,]    0
 [362,]    6
 [363,]    4
 [364,]    3
 [365,]    7
 [366,]    3
 [367,]    7
 [368,]    6
 [369,]    6
 [370,]    2
 [371,]    4
 [372,]    2
 [373,]    5
 [374,]    3
 [375,]    2
 [376,]    9
 [377,]    2
 [378,]    5
 [379,]    0
 [380,]    9
 [381,]    4
 [382,]    1
 [383,]    2
 [384,]    0
 [385,]    5
 [386,]    1
 [387,]    1
 [388,]    3
 [389,]    5
 [390,]    2
 [391,]    6
 [392,]    7
 [393,]    2
 [394,]    4
 [395,]    8
 [396,]    2
 [397,]    6
 [398,]    3
 [399,]    0
 [400,]    4
 [401,]    0
 [402,]    5
 [403,]    1
 [404,]    5
 [405,]    4
 [406,]    7
 [407,]    4
 [408,]    2
 [409,]    5
 [410,]    8
 [411,]    5
 [412,]    1
 [413,]    1
 [414,]    6
 [415,]    0
 [416,]    8
 [417,]    9
 [418,]    4
 [419,]    1
 [420,]    9
 [421,]    7
 [422,]    9
 [423,]    0
 [424,]    6
 [425,]    7
 [426,]    8
 [427,]    8
 [428,]    6
 [429,]    6
 [430,]    7
 [431,]    8
 [432,]    4
 [433,]    2
 [434,]    6
 [435,]    9
 [436,]    5
 [437,]    4
 [438,]    5
 [439,]    6
 [440,]    6
 [441,]    8
 [442,]    7
 [443,]    1
 [444,]    3
 [445,]    8
 [446,]    3
 [447,]    0
 [448,]    8
 [449,]    6
 [450,]    8
 [451,]    1
 [452,]    4
 [453,]    4
 [454,]    4
 [455,]    2
 [456,]    2
 [457,]    2
 [458,]    6
 [459,]    2
 [460,]    1
 [461,]    7
 [462,]    0
 [463,]    9
 [464,]    8
 [465,]    1
 [466,]    4
 [467,]    5
 [468,]    0
 [469,]    6
 [470,]    2
 [471,]    7
 [472,]    4
 [473,]    9
 [474,]    7
 [475,]    5
 [476,]    3
 [477,]    1
 [478,]    6
 [479,]    4
 [480,]    1
 [481,]    3
 [482,]    4
 [483,]    7
 [484,]    8
 [485,]    0
 [486,]    7
 [487,]    9
 [488,]    4
 [489,]    4
 [490,]    3
 [491,]    7
 [492,]    6
 [493,]    8
 [494,]    4
 [495,]    5
 [496,]    1
 [497,]    5
 [498,]    9
 [499,]    3
 [500,]    8
 [501,]    0
 [502,]    8
 [503,]    8
 [504,]    1
 [505,]    6
 [506,]    8
 [507,]    6
 [508,]    5
 [509,]    3
 [510,]    3
 [511,]    1
 [512,]    4
 [513,]    0
 [514,]    0
 [515,]    1
 [516,]    1
 [517,]    0
 [518,]    0
 [519,]    9
 [520,]    1
 [521,]    7
 [522,]    8
 [523,]    0
 [524,]    1
 [525,]    1
 [526,]    1
 [527,]    8
 [528,]    9
 [529,]    3
 [530,]    4
 [531,]    3
 [532,]    5
 [533,]    6
 [534,]    7
 [535,]    2
 [536,]    9
 [537,]    8
 [538,]    8
 [539,]    0
 [540,]    9
 [541,]    3
 [542,]    8
 [543,]    2
 [544,]    0
 [545,]    1
 [546,]    0
 [547,]    3
 [548,]    4
 [549,]    0
 [550,]    1
 [551,]    1
 [552,]    2
 [553,]    0
 [554,]    2
 [555,]    4
 [556,]    9
 [557,]    1
 [558,]    6
 [559,]    0
 [560,]    2
 [561,]    8
 [562,]    4
 [563,]    0
 [564,]    8
 [565,]    5
 [566,]    8
 [567,]    1
 [568,]    8
 [569,]    4
 [570,]    6
 [571,]    8
 [572,]    4
 [573,]    2
 [574,]    6
 [575,]    6
 [576,]    9
 [577,]    3
 [578,]    2
 [579,]    8
 [580,]    9
 [581,]    4
 [582,]    5
 [583,]    7
 [584,]    5
 [585,]    0
 [586,]    7
 [587,]    5
 [588,]    0
 [589,]    2
 [590,]    8
 [591,]    2
 [592,]    4
 [593,]    3
 [594,]    3
 [595,]    5
 [596,]    3
 [597,]    4
 [598,]    7
 [599,]    8
 [600,]    3
 [601,]    7
 [602,]    4
 [603,]    8
 [604,]    1
 [605,]    2
 [606,]    9
 [607,]    2
 [608,]    7
 [609,]    0
 [610,]    2
 [611,]    4
 [612,]    5
 [613,]    7
 [614,]    0
 [615,]    6
 [616,]    2
 [617,]    6
 [618,]    6
 [619,]    0
 [620,]    9
 [621,]    2
 [622,]    3
 [623,]    7
 [624,]    6
 [625,]    0
 [626,]    3
 [627,]    6
 [628,]    4
 [629,]    3
 [630,]    2
 [631,]    8
 [632,]    6
 [633,]    2
 [634,]    8
 [635,]    9
 [636,]    3
 [637,]    5
 [638,]    8
 [639,]    3
 [640,]    0
 [641,]    1
 [642,]    2
 [643,]    2
 [644,]    2
 [645,]    0
 [646,]    0
 [647,]    6
 [648,]    3
 [649,]    7
 [650,]    5
 [651,]    0
 [652,]    1
 [653,]    4
 [654,]    7
 [655,]    1
 [656,]    3
 [657,]    5
 [658,]    3
 [659,]    4
 [660,]    1
 [661,]    6
 [662,]    6
 [663,]    4
 [664,]    2
 [665,]    1
 [666,]    5
 [667,]    1
 [668,]    8
 [669,]    8
 [670,]    6
 [671,]    7
 [672,]    5
 [673,]    6
 [674,]    9
 [675,]    5
 [676,]    1
 [677,]    4
 [678,]    9
 [679,]    0
 [680,]    1
 [681,]    9
 [682,]    4
 [683,]    8
 [684,]    6
 [685,]    0
 [686,]    6
 [687,]    9
 [688,]    8
 [689,]    9
 [690,]    0
 [691,]    6
 [692,]    8
 [693,]    5
 [694,]    8
 [695,]    4
 [696,]    5
 [697,]    2
 [698,]    0
 [699,]    1
 [700,]    2
 [701,]    6
 [702,]    2
 [703,]    3
 [704,]    7
 [705,]    0
 [706,]    9
 [707,]    0
 [708,]    2
 [709,]    6
 [710,]    2
 [711,]    8
 [712,]    6
 [713,]    9
 [714,]    7
 [715,]    0
 [716,]    2
 [717,]    1
 [718,]    1
 [719,]    6
 [720,]    5
 [721,]    9
 [722,]    0
 [723,]    4
 [724,]    6
 [725,]    8
 [726,]    5
 [727,]    5
 [728,]    7
 [729,]    6
 [730,]    9
 [731,]    7
 [732,]    2
 [733,]    6
 [734,]    3
 [735,]    3
 [736,]    2
 [737,]    5
 [738,]    8
 [739,]    3
 [740,]    6
 [741,]    5
 [742,]    4
 [743,]    8
 [744,]    0
 [745,]    1
 [746,]    2
 [747,]    9
 [748,]    5
 [749,]    4
 [750,]    8
 [751,]    5
 [752,]    8
 [753,]    4
 [754,]    8
 [755,]    7
 [756,]    4
 [757,]    1
 [758,]    3
 [759,]    7
 [760,]    7
 [761,]    1
 [762,]    3
 [763,]    3
 [764,]    1
 [765,]    6
 [766,]    9
 [767,]    8
 [768,]    3
 [769,]    8
 [770,]    8
 [771,]    7
 [772,]    0
 [773,]    8
 [774,]    8
 [775,]    7
 [776,]    8
 [777,]    6
 [778,]    7
 [779,]    1
 [780,]    9
 [781,]    8
 [782,]    0
 [783,]    4
 [784,]    8
 [785,]    3
 [786,]    2
 [787,]    6
 [788,]    3
 [789,]    7
 [790,]    5
 [791,]    9
 [792,]    0
 [793,]    9
 [794,]    8
 [795,]    5
 [796,]    6
 [797,]    2
 [798,]    0
 [799,]    4
 [800,]    4
 [801,]    4
 [802,]    5
 [803,]    6
 [804,]    8
 [805,]    3
 [806,]    1
 [807,]    6
 [808,]    6
 [809,]    6
 [810,]    9
 [811,]    0
 [812,]    8
 [813,]    3
 [814,]    7
 [815,]    8
 [816,]    4
 [817,]    7
 [818,]    0
 [819,]    1
 [820,]    7
 [821,]    6
 [822,]    2
 [823,]    4
 [824,]    6
 [825,]    6
 [826,]    3
 [827,]    1
 [828,]    4
 [829,]    3
 [830,]    3
 [831,]    0
 [832,]    6
 [833,]    1
 [834,]    7
 [835,]    4
 [836,]    4
 [837,]    9
 [838,]    3
 [839,]    1
 [840,]    0
 [841,]    9
 [842,]    3
 [843,]    1
 [844,]    0
 [845,]    1
 [846,]    7
 [847,]    0
 [848,]    4
 [849,]    2
 [850,]    8
 [851,]    8
 [852,]    0
 [853,]    3
 [854,]    2
 [855,]    9
 [856,]    6
 [857,]    0
 [858,]    4
 [859,]    0
 [860,]    0
 [861,]    1
 [862,]    9
 [863,]    1
 [864,]    8
 [865,]    8
 [866,]    3
 [867,]    9
 [868,]    1
 [869,]    2
 [870,]    1
 [871,]    1
 [872,]    4
 [873,]    8
 [874,]    9
 [875,]    1
 [876,]    3
 [877,]    4
 [878,]    9
 [879,]    4
 [880,]    1
 [881,]    8
 [882,]    7
 [883,]    8
 [884,]    6
 [885,]    8
 [886,]    9
 [887,]    9
 [888,]    8
 [889,]    8
 [890,]    6
 [891,]    0
 [892,]    6
 [893,]    6
 [894,]    7
 [895,]    1
 [896,]    3
 [897,]    4
 [898,]    7
 [899,]    3
 [900,]    1
 [901,]    0
 [902,]    3
 [903,]    9
 [904,]    2
 [905,]    9
 [906,]    3
 [907,]    6
 [908,]    7
 [909,]    7
 [910,]    4
 [911,]    3
 [912,]    8
 [913,]    6
 [914,]    7
 [915,]    1
 [916,]    1
 [917,]    0
 [918,]    7
 [919,]    5
 [920,]    4
 [921,]    5
 [922,]    6
 [923,]    7
 [924,]    9
 [925,]    1
 [926,]    8
 [927,]    4
 [928,]    2
 [929,]    7
 [930,]    8
 [931,]    3
 [932,]    2
 [933,]    8
 [934,]    9
 [935,]    9
 [936,]    8
 [937,]    4
 [938,]    8
 [939,]    7
 [940,]    1
 [941,]    4
 [942,]    7
 [943,]    0
 [944,]    6
 [945,]    2
 [946,]    8
 [947,]    8
 [948,]    1
 [949,]    8
 [950,]    6
 [951,]    4
 [952,]    4
 [953,]    9
 [954,]    8
 [955,]    7
 [956,]    0
 [957,]    8
